job_name,company_name,companytype_text,providesalary_text,workarea_text,jobwelf,updatedate,attribute_text
销售专员,仁合（杭州）健康产业有限公司,民营公司,1-1.5万/月,金华-婺城区,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 弹性工作 定期体检 团建聚餐 上升工作明朗 阿里大拿带队,10-14,"['金华-婺城区', '1年经验', '大专', '招5人']"
客户经理/销售经理,上海立年信息科技有限公司,民营公司,0.8-1.5万/月,上海-长宁区,五险一金 员工旅游 专业培训 绩效奖金 年终奖金 通讯补贴 弹性工作 周末双休 带薪年假 节日福利,10-14,"['上海-长宁区', '1年经验', '大专', '招若干人']"
跨境电商运营(日语),青岛银晋商务顾问有限公司,民营公司,0.8-1万/月,青岛-市南区,五险一金 出国机会 专业培训 通讯补贴 餐饮补贴 交通补贴 绩效奖金 年终奖金,10-14,"['青岛-市南区', '2年经验', '大专', '招2人']"
乐居财经地区运营总监,乐居控股-城市公司,外资（欧美）,0.8-1.5万/月,南昌-红谷滩新区,五险一金 定期体检 周末双休 带薪年假 餐饮补贴 奖金,10-14,"['南昌-红谷滩新区', '3-4年经验', '本科', '招1人']"
跨境运营总监,菏泽林森家庭用品有限公司,民营公司,0.7-1.2万/月,南京-雨花台区,五险一金 绩效奖金,10-14,"['南京-雨花台区', '3-4年经验', '本科', '招1人']"
平面设计师/美工,广州市陆地飞花贸易有限公司,民营公司,5-8千/月,佛山-南海区,社保 员工旅游 专业培训 绩效奖金 年终奖金 每周下午茶 节日福利 十三薪,10-14,"['佛山-南海区', '1年经验', '大专', '招1人']"
电商客服专员,杭州汇咚科技有限公司,民营公司,4.5-6千/月,杭州-拱墅区,弹性工作 绩效奖金 周末双休 带薪年假 五险一金,10-14,"['杭州-拱墅区', '1年经验', '招若干人']"
抖音直播运营专员,广州拉拉米信息科技股份有限公司,民营公司,0.7-1.2万/月,广州-海珠区,五险一金 免费工作餐,10-14,"['广州-海珠区', '1年经验', '本科', '招若干人']"
速卖通主管,深圳市九行星科技有限公司,民营公司,1.1-1.9万/月,深圳-龙岗区,五险一金 员工旅游 定期体检 专业培训 绩效奖金 全勤奖 节日福利 提供住宿 团队聚餐,10-14,"['深圳-龙岗区', '2年经验', '大专', '招若干人']"
售前顾问,北京来也网络科技有限公司,外资（非欧美）,1.5-3万/月,深圳-南山区,,10-14,"['深圳-南山区', '8-9年经验', '本科', '招1人']"
